A,B,C,D,angle,area,perimeter,defects,label
878.5493779,341.8056379,217.9484453,947.3733006,178.5455551,591.5,106.1837655,3,B
872.0374726,337.9019389,219.3539542,933.7575068,177.6157717,592.5,106.1837655,3,B
870.3654576,350.2530358,216.1108781,961.0484618,174.1639762,595,107.5979789,3,B
869.8136158,329.5113342,215.8620156,958.6129382,183.9032348,594.5,107.3553383,3,B
875.4067645,336.3151995,218.2585549,1264.847067,182.0760866,590.5,106.5269114,3,B
877.9980701,333.642091,218.4278657,1085.461417,179.5229433,588,104.769552,3,B
878.4237504,339.2982494,217.5573923,1211.975712,176.728817,591,105.9411248,3,B
892.0739773,365.5926168,218.0133163,649.6215123,185.7435194,591,107.5979791,3,B
877.8405513,343.6842893,217.5662018,1159.883999,182.0773531,598,107.5979791,3,B
883.647349,336.5630644,215.4350817,933.7230891,180.4668446,582,104.769552,3,B
893.3776946,361.9068333,212.1566992,960.2425541,191.1655705,575,104.7695519,3,B
893.375711,380.9192605,214.3139042,798.7623869,186.6422647,572.5,103.3553385,3,B
893.1923019,366.0655492,215.9835978,948.851471,181.9828644,575.5,105.3553383,3,B
892.4155957,373.1387363,216.9825817,1001.527659,182.4281837,572.5,103.3553383,3,B
896.0794416,346.9565051,215.0159617,1205.945375,177.9991214,573.5,105.3553383,3,B
892.6613719,367.0414851,213.8399546,952.4599807,181.8630402,568,104.7695519,3,B
906.7914308,392.6425315,215.4454467,795.5605413,180.5356768,554.5,105.3553382,3,B
897.5851964,358.3228738,212.2089252,887.0206568,181.0669587,568.5,106.1837654,3,B
901.8254662,366.4308625,214.8517542,946.2044284,183.6922645,563,102.7695518,3,B
886.0377747,344.6967917,214.197929,1066.548471,177.2431462,555.5,103.3553385,3,B
886.4961004,363.9176896,211.8381271,951.7479799,185.8955497,549.5,102.5269114,3,B
887.1874652,357.2544249,224.2455961,1227.446583,232.3324542,562,102.769552,4,B
892.4455843,356.7973079,220.9959697,1127.262283,236.7965637,569.5,106.1837655,4,B
882.5049362,356.3725244,212.905273,1108.560471,185.8305119,568.5,105.3553383,3,B
878.8040716,354.3551046,212.3140127,922.1261515,192.8563799,562,102.7695519,3,B
879.3650623,340.1636606,210.7707794,1049.566134,190.1457292,567.5,105.3553385,3,B
880.6585561,354.3800193,211.317004,756.3584579,192.9518031,560,102.7695519,3,B
873.9899031,352.5600083,211.6151821,927.5721874,182.1959164,570,104.769552,3,B
880.8881495,351.8568032,211.8381271,1058.021842,186.4360454,565.5,104.1837655,3,B
887.1115413,369.9868609,212.6829833,769.9361496,182.0930873,573.5,106.1837655,3,B
888.4019819,401.1127855,210.8008494,823.7354801,190.1827187,568.5,105.3553385,3,B
891.8642636,353.4866592,212.2944732,972.3353932,189.0920812,559,104.769552,3,B
881.0518992,349.3858217,208.722615,919.1456255,188.5833082,556.5,105.0121926,3,B
895.2885395,376.2073093,207.653412,628.7263747,186.6975544,544.5,102.5269113,3,B
886.293742,341.7036544,207.2997448,1351.534535,180.0766215,549,102.7695519,3,B
882.1728221,355.9146546,209.0269565,1260.820081,178.454058,537,101.9411249,3,B
900.0890779,380.1984467,207.1163208,624.5004321,182.1864002,529.5,101.3553385,3,B
904.4379695,370.594081,206.0240867,915.3494738,185.0194716,522.5,100.5269113,3,B
900.7258036,358.8046559,204.4954531,901.6223788,186.1449417,516.5,99.6984843,3,B
891.5109459,355.6542324,205.2810281,786.8365887,189.6644557,521,101.1126978,3,B
888.6328861,357.4804027,216.8973771,1084.086979,261.1848853,519,101.1126977,4,B
895.0365653,379.8549988,202.6833161,1271.983333,179.8671745,515,100.7695521,3,B
886.1607679,351.5130713,204.9926503,1117.320803,181.1895933,520,99.9411248,3,B
884.0370957,354.5098878,204.6198033,1079.908803,183.0583179,507.5,98.52691138,3,B
902.6535384,367.8355641,204.3103422,1095.3057,180.4106396,516.5,99.6984843,3,B
881.0480745,369.1233037,202.5379623,1273.521613,178.5391198,514.5,99.35533834,3,B
890.2133196,358.2049792,205.2314228,617.4837275,186.3204806,529,101.9411248,3,B
899.1826557,359.2006348,207.5756129,959.3866618,182.6645019,526.5,100.5269114,3,B
896.7545472,380.9418473,203.8857538,973.0829139,184.4184583,521,100.7695519,3,B
884.5102709,352.3184496,204.1017256,776.3701699,185.7567515,530,102.769552,3,B
890.5256837,361.3343991,207.4532332,1090.302488,181.8058153,520.5,100.5269114,3,B
880.5197399,379.43215,207.2379624,1233.321471,178.0679676,525.5,102.8700572,3,B
883.3129668,380.0877633,207.8694887,937.4452711,185.0369887,509,97.11269772,3,B
880.5694709,345.6548908,206.0145525,915.4538068,191.0460197,526,101.1126978,3,B
883.8332149,337.8857271,208.6228336,773.848644,187.3175825,530.5,100.5269113,3,B
882.0899212,364.7083679,207.8614247,1105.025338,189.8237183,521,99.9411248,3,B
886.294949,341.8232059,209.5670644,1397.294053,185.9839304,537.5,103.3553385,3,B
879.6541123,357.0295516,212.7417343,903.2937989,184.5174711,525,99.9411248,3,B
887.877695,386.3013282,210.8017938,936.9200928,189.7609805,532,101.5979789,3,B
884.7131118,348.7060223,214.2560918,790.6393423,184.6591399,526.5,100.5269114,3,B
889.4096642,352.8076531,213.587906,897.6277141,184.1613474,558.5,103.3553385,3,B
895.0544523,348.9274058,213.5039936,783.6650021,187.1750682,560,105.9411248,3,B
885.9179127,328.4424125,213.5069757,1065.948023,186.0914588,552,102.7695518,3,B
892.7515359,347.8632657,214.0168736,782.7431338,187.485389,552.5,102.5269113,3,B
890.054674,343.2948043,217.0770361,947.5812738,184.7997718,575.5,104.1837655,3,B
894.8357141,342.8918268,217.5474145,1081.352524,176.3303428,568,103.9411248,3,B
885.1879134,376.3434103,216.7431244,1084.707371,185.1231881,558.5,104.5269114,3,B
888.7529098,351.0940111,215.1921978,915.2512768,180.6512335,557,102.769552,3,B
883.1454784,350.9292782,218.547469,907.1986949,182.6449934,576,106.7695519,3,B
885.8214114,341.4525316,214.8642576,759.8480484,183.9558078,568.5,107.3553385,3,B
885.2541084,342.7591497,216.7729463,941.6825718,181.7354466,574.5,107.3553383,3,B
882.5403363,349.990203,219.8058672,912.0494165,169.329663,570.5,104.5269114,3,B
884.3529338,368.6723844,218.6340457,1216.717112,178.1423995,572.5,105.3553383,3,B
884.8824541,380.057518,216.2139122,1096.219469,177.6345875,560.5,104.1837655,3,B
882.9014274,388.4363774,216.1206472,1229.205212,179.3394161,573.5,106.1837655,3,B
883.5594662,321.8206608,219.8149033,1094.530398,178.2398465,34,21.65685415,3,B
887.8536107,344.8640971,218.6997547,1040.276792,175.6122348,572,106.7695519,3,B
893.5698752,332.8137358,220.870704,761.8525132,181.8177276,568,106.769552,3,B
887.3525633,337.4443574,216.2759784,1221.555297,180.9181288,574.5,104.5269114,3,B
883.7706702,360.3900732,217.6159946,1252.296102,178.824253,590.5,106.1837654,3,B
882.4832595,357.8945816,219.0770794,790.1611938,175.0397575,578,103.9411249,3,B
877.6041163,344.7012491,222.3934002,918.2530005,174.2901908,590.5,106.1837655,3,B
902.9454175,363.8192717,224.2519644,784.0215794,181.1145567,81,37.31370831,3,B
894.4896363,378.5825952,221.2551869,961.0822974,183.3428486,596,106.769552,3,B
885.238435,373.4773057,233.5104374,822.7535824,230.916337,621,108.7695521,4,B
887.5199038,333.8895595,223.5266425,810.1559771,175.1782649,632,111.5979789,3,B
891.7714961,323.399301,224.7028392,905.0731217,183.7222727,614.5,109.0121926,3,B
891.1530409,330.8563703,223.2491479,953.9547725,181.9658656,608,108.769552,3,B
893.9520899,357.0811935,222.501209,820.6073755,180.5989764,603,105.9411249,3,B
893.7647195,352.1542806,221.1531899,1086.21948,184.8715535,601.5,107.3553385,3,B
891.9906677,333.8733694,222.4685003,789.8611755,179.975677,615,106.769552,3,B
895.7068984,337.3251233,222.0755992,647.2085797,182.7039815,635,112.426406,3,B
903.3258266,354.3765876,225.7452533,1145.502585,178.9506313,637,111.5979791,3,B
917.8005958,349.6845071,228.8361174,941.7470994,179.4394919,652.5,113.0121925,3,B
916.1479336,364.7117474,228.8981136,1123.203007,174.6556317,636,111.5979791,3,B
932.184788,353.3994564,228.9451455,813.2005414,181.7918068,650.5,112.1837655,3,B
927.9572536,361.7056138,230.4649131,1130.80588,179.4366945,671,115.5979789,3,B
945.755151,375.3268815,234.5599641,1152.457409,181.2830675,660,113.5979789,3,B
934.6924129,375.8298539,235.0778772,1189.68306,177.5177609,673.5,113.0121925,3,B
953.1907868,375.7320865,235.0778772,1155.136604,177.1413241,694,116.426406,3,B
950.3997859,380.9674916,238.929864,1162.156573,181.3289729,696.5,117.8406196,3,B
946.5535865,357.8347022,242.0178518,813.2928684,180.6175546,700.5,115.8406197,3,B
940.2030423,393.3821701,238.4453901,1186.161601,176.4789862,683.5,117.0121925,3,B
943.5722992,365.945969,234.7783129,1009.456429,175.3611278,675,113.5979791,3,B
934.7110508,369.3970709,233.6093717,1000.445063,183.5153136,647.5,111.3553383,3,B
931.8526574,349.9948145,231.3847786,957.8646305,179.10362,645.5,110.1837653,3,B
